,course1,course2,corr,P-value,#students
0,BiologicalSciences1403,BiologicalSciences1403,1,0,1803
1,BiologicalSciences1403,BiologicalSciences1404,0.675904884,1.64E-174,1302
2,BiologicalSciences1403,BiologicalSciences1413,0.789904585,0,1785
3,BiologicalSciences1403,Chemistry1321,0.640340384,4.89E-151,1301
4,BiologicalSciences1403,Chemistry1322,0.59934831,2.48E-102,1039
5,BiologicalSciences1403,Chemistry1331,0.657954001,5.67E-179,1437
6,BiologicalSciences1403,Chemistry1332,0.542462442,7.99E-83,1069
7,BiologicalSciences1403,ComputerandInfoScience1100,0.088323794,0.317661748,130
8,BiologicalSciences1403,ComputerandInfoScience1400,0.483490219,1.39E-06,90
10,BiologicalSciences1403,ComputerandInfoScience1600,0.406705537,3.64E-09,195
11,BiologicalSciences1403,ComputerandInfoScience1610,0.355443605,2.61E-06,166
14,BiologicalSciences1403,ComputerandInfoScience2000,0.433168315,0.001877809,49
15,BiologicalSciences1403,ComputerandInfoScience2010,0.404638459,0.005282994,46
19,BiologicalSciences1403,ComputerandInfoScience2200,0.455050274,0.033341874,22
22,BiologicalSciences1403,ComputerandInfoScience2500,0.368505378,0.00662636,53
23,BiologicalSciences1403,ComputerandInfoScience2540,0.202078174,0.30243136,28
30,BiologicalSciences1403,ComputerandInfoScience3250,0.498958859,0.00014301,53
33,BiologicalSciences1403,ComputerandInfoScience3500,0.297629455,0.110186536,30
36,BiologicalSciences1403,ComputerandInfoScience3595,0.074868311,0.75374676,20
40,BiologicalSciences1403,ComputerandInfoScience4001,0.172928271,0.328067109,34
42,BiologicalSciences1403,ComputerandInfoScience4020,0.549148361,0.000431846,37
49,BiologicalSciences1403,ComputerandInfoScience4631,0.499347922,0.000761227,42
50,BiologicalSciences1403,ComputerandInfoScience4650,0.433966382,0.014721752,31
57,BiologicalSciences1403,Economics2140,0.338760973,1.50E-11,376
58,BiologicalSciences1403,English1101,0.220627597,0.003256306,176
59,BiologicalSciences1403,English1102,0.411395483,1.72E-53,1281
60,BiologicalSciences1403,History1000,0.418498008,3.61E-20,442
61,BiologicalSciences1403,Mathematics1100,0.237910236,0.00012522,255
62,BiologicalSciences1403,Music1100,0.421750072,1.39E-14,305
63,BiologicalSciences1403,Philosophy1000,0.478263888,1.64E-76,1322
64,BiologicalSciences1403,Physics1201,0.344024646,5.31E-06,167
65,BiologicalSciences1403,Physics1501,0.50380708,3.00E-29,433
66,BiologicalSciences1403,Physics1511,0.435238015,1.56E-21,435
71,BiologicalSciences1403,Psychology1100,0.467996082,5.53E-09,140
72,BiologicalSciences1403,Psychology1200,0.428097253,3.85E-26,555
73,BiologicalSciences1403,Psychology2000,0.416481489,1.09E-14,316
74,BiologicalSciences1403,Psychology2010,0.39151439,2.12E-09,218
75,BiologicalSciences1403,Psychology2200,0.202654093,0.123723495,59
76,BiologicalSciences1403,Psychology2201,0.59740245,4.65E-06,50
80,BiologicalSciences1403,Psychology2501,0.297413809,0.001685546,109
81,BiologicalSciences1403,Psychology2600,0.427382006,8.55E-05,79
83,BiologicalSciences1403,Psychology2700,0.41726341,3.93E-07,137
84,BiologicalSciences1403,Psychology2710,0.453398866,2.24E-07,119
85,BiologicalSciences1403,Psychology2800,0.391676441,2.72E-08,188
86,BiologicalSciences1403,Psychology2900,0.462463314,1.65E-16,285
87,BiologicalSciences1403,Psychology3100,0.341359344,0.002379616,77
88,BiologicalSciences1403,Psychology3110,0.465664745,2.55E-05,75
